"any","zona","dat","via","pk","nommun","nomcom","nomdem","f_morts","f_ferits_greus","f_ferits_lleus","f_victimes","f_unitats_implicades","f_vianants_implicades","f_bicicletes_implicades","f_ciclomotors_implicades","f_motocicletes_implicades","f_veh_lleugers_implicades","f_veh_pesants_implicades","f_altres_unit_implicades","f_unit_desc_implicades","c_velocitat_via","d_acc_amb_fuga","d_boira","d_caract_entorn","d_carril_especial","d_circulacio_mesures_esp","d_climatologia","d_func_esp_via","d_gravetat","d_influit_boira","d_influit_caract_entorn","d_influit_circulacio","d_influit_estat_clima","d_influit_inten_vent","d_influit_lluminositat","d_influit_mesu_esp","d_influit_obj_calcada","d_influit_solcs_rases","d_influit_visibilitat","d_inter_seccio","d_limit_velocitat","d_lluminositat","d_regulacio_prioritat","d_sentits_via","d_subtipus_accident","d_subtipus_tram","d_subzona","d_superficie","d_tipus_via","d_titularitat_via","d_tracat_altimetric","d_vent","grupdialab","hor","gruphor","tipacc","tipdia"
"2010","Zona urbana","2010-01-25T23:33:00.000","SE","999999","CANOVES I SAMALUS","Valles Oriental","Barcelona","0","1","0","1","2","0","0","0","0","1","0","1","0","100","No","No n'hi ha","Desmunt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Arribant o eixint intersecció fins 50m","Genérica via","De nit, il·luminació artificial suficient","Sols norma prioritat de pas","Un sol sentit","Encalç","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners","2333","Nit","Col.lisió de vehicles en marxa","dill-dij"
"2010","Carretera","2010-10-31T01:00:00.000","N-240","999","LLEIDA","Segria","Lleida","0","1","3","4","1","0","0","0","0","1","0","0","0","40","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Senyal velocitat","De nit, il·luminació artificial suficient","Senyal Stop o cedeix pas","Doble sentit","Resta sortides de via","Giratòria","Carretera","Sec i net","Carretera convencional","Estatal","Pla","Calma, vent molt suau","CapDeSetmana","1","Nit","Sortida de la calcada sense especificar","dg"
"2010","Carretera","2010-05-17T15:27:00.000","N-II","7087","FORNELLS DE LA SELVA","Girones","Girona","1","0","2","3","4","0","0","0","0","2","2","0","0","80","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Variant","Accident mortal","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar","NA","Doble sentit","Col·lisió frontal","NA","Carretera","Sec i net","Carretera convencional","Estatal","Rampa o pendent","Calma, vent molt suau","Feiners","1527","Tarda","Col.lisió de vehicles en marxa","dill-dij"
"2010","Zona urbana","2010-08-21T22:30:00.000","SE","999999","BARCELONA","Barcelones","Barcelona","0","2","7","9","2","0","0","0","0","2","0","0","0","100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De nit, il·luminació artificial suficient","Semàfor","Un sol sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","CapDeSetmana","223","Nit","Col.lisió de vehicles en marxa","dis"
"2010","Zona urbana","2010-05-07T17:45:00.000","SE","999999","BADALONA","Barcelones","Barcelona","0","1","0","1","1","0","0","0","1","0","0","0","0","100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Sols norma prioritat de pas","Un sol sentit","Caiguda en la via","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","CapDeSetmana","1745","Tarda","Bolcada a la calcada","div"
"2010","Carretera","2010-08-16T14:57:00.000","SE","999999","SANT CARLES DE LA RAPITA","Montsia","Tarragona","0","1","1","2","2","0","0","1","0","1","0","0","0","40","No","No n'hi ha","Mixt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Senyal velocitat","De dia, dia clar","Senyal Stop o cedeix pas","Doble sentit","Encalç","Intersecció en T o Y","Carretera","Sec i net","Altres","Municipal","Rampa o pendent","Calma, vent molt suau","Feiners","1457","Tarda","Col.lisió de vehicles en marxa","dill-dij"
"2010","Zona urbana","2010-01-13T20:54:00.000","SE","999999","BARCELONA","Barcelones","Barcelona","0","1","0","1","2","0","0","0","1","1","0","0","0","100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De nit, il·luminació artificial suficient","NA","Doble sentit","Encalç","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners","2054","Tarda","Col.lisió de vehicles en marxa","dill-dij"
"2010","Zona urbana","2010-10-23T10:55:00.000","SE","999999","BARCELONA","Barcelones","Barcelona","1","0","1","2","2","1","0","0","1","0","0","0","0","100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Atropellament","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","CapDeSetmana","1055","Matí","Atropellament","dis"
"2010","Carretera","2010-06-19T05:30:00.000","AP-7","138","MOLLET DEL VALLES","Valles Oriental","Barcelona","0","1","2","3","2","0","0","0","0","2","0","0","0","100","No","No n'hi ha","Desmunt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De nit, sense llum artificial","NA","Doble sentit","Envestida (frontal lateral)","NA","Carretera","Sec i net","Carretera convencional","Estatal","Pla","Calma, vent molt suau","CapDeSetmana","53","Nit","Col.lisió de vehicles en marxa","dis"
"2010","Carretera","2010-02-12T14:30:00.000","SE","999999","CERDANYOLA DEL VALLES","Valles Occidental","Barcelona","0","1","0","1","2","0","0","0","1","1","0","0","0","100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Fregament o col·lisió lateral","NA","Carretera","Sec i net","Altres","Municipal","Pla","Calma, vent molt suau","Feiners","143","Tarda","Col.lisió de vehicles en marxa","div"
